area,type_of_road,longitude,latitude,trafficlight,date,time,load_index
Shevchenko,crossroad,127.531284,50.260795,1,15.05.23,15:20,0.25
Shevchenko,crossroad,127.522688,50.26166,1,15.05.23,15:20,0.25
Shevchenko,crossroad,127.523392,50.264265,1,15.05.23,15:20,0.25
Shevchenko,crossroad,127.520577,50.264603,1,15.05.23,15:20,0.5
Shevchenko,crossroad,127.520577,50.264643,1,15.05.23,15:20,0.5
50_Let_Oktbr,bad,127.533886,50.25846,0,15.05.23,15:20,0.25
50_Let_Oktbr,bad,127.534526,50.260849,0,15.05.23,15:20,0.5
50_Let_Oktbr,bad,127.534505,50.260863,0,15.05.23,15:20,0.5
50_Let_Oktbr,bad,127.535017,50.262821,0,15.05.23,15:20,0.5
50_Let_Oktbr,bad,127.534996,50.262821,0,15.05.23,15:20,0.5
50_Let_Oktbr,bad,127.535188,50.263564,0,15.05.23,15:20,0.25
50_Let_Oktbr,bad,127.535423,50.264415,0,15.05.23,15:20,0.25
50_Let_Oktbr,road,127.536426,50.259812,0,15.05.23,15:20,0.25
50_Let_Oktbr,road,127.536405,50.259825,0,15.05.23,15:20,0.25
